ID,SkillName,NameEffectID,SkillDesc,SkillType,Pr,Lv,clipname,effectTime,NumTime,BeattackclipTime,BeattackEffectTime,CastEffectAssetID,EffectAssetID,BeAttackAssetID,resIconName,GloAction,GloCondition,Actions,Conditions,ImpactPropType,ImpactPropNum,LevelUpNeedItem
1,攻击,565,普通攻击。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,-1,-1,8,gongji_icon,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
2,防御,564,进入防御状态，抵挡大部分物理攻击伤害。,SKT_DefaultSecPassive,,1,,0.1,0.5,0.5,0.5,-1,-1,9,fangyu_icon,"nrm_def(RECEIVER, ARG0, ARG1, ARG2);",,,,,,
3,闪避,,被动触发。,SKT_DefaultSecPassive,,1,,0.1,0.5,0.5,0.5,4,-1,-1,,,,,,,,
4,换位,566,和自己的宠物更换站位。,SKT_DefaultActive,,1,,0.1,0.5,0.5,0.5,4,-1,-1,,"nrm_cge(RECEIVER, ARG0, ARG1, ARG2);",,,,,,
5,反击,,反击。,SKT_DefaultSecPassive,,1,,0.1,0.5,0.5,0.5,20,-1,8,,,,,,,,
6,逃跑,569,逃跑，离开战斗。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,52,52,8,taopao_icon,"nrm_raw(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);",,,,,,
7,收宠,568,收回宠物。,SKT_DefaultActive,,1,,0.1,0.5,0.5,0.5,15,-1,-1,,"use_baby(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)",,,,,,
8,攻击,565,普通攻击。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,-1,-1,8,gongji_icon,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
9,攻击,565,普通攻击。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,-1,-1,8,gongji_icon,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
10,攻击,565,普通攻击。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,-1,46,8,gongji_icon,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
11,攻击,565,普通攻击。,SKT_DefaultSecActive,,1,,0.1,0.5,0.5,0.5,-1,91,8,gongji_icon,"xiaodao_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","nrm_atk_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
12,静止不动,,原地不动。,SKT_DefaultSecPassive,,1,,0.1,0.5,0.5,0.5,-1,-1,8,budong_icon,"nrm_atk(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);","budon_condition(RECEIVER, ARG0, ARG1, ARG2)",,,,,
13,捕捉,562,捕捉宠物。,SKT_DefaultActive,,1,,0.1,0.5,0.5,0.5,14,-1,-1,,"get_baby(RECEIVER, ARG0, ARG1, ARG2, ARG3, ARG4)",,,,,,
1001,连击等级1,531,随机攻击对象，[ff6000]2[-]次攻击，1级可用。,SKT_Active,100,1,,0.1,0.5,0.5,0.5,83,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_1(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4500
1001,连击等级2,531,随机攻击对象，[ff6000]2[-]次攻击，10级可用。,SKT_Active,400,2,,0.1,0.5,0.5,0.5,83,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk2(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_2(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4501
1001,连击等级3,531,随机攻击对象，[ff6000]2~3[-]次攻击，20级可用。,SKT_Active,1300,3,,0.1,0.5,0.5,0.5,83,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_atk3(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4502
1001,连击等级4,531,随机攻击对象，[ff6000]2~3[-]次攻击，30级可用。,SKT_Active,5300,4,,0.1,0.5,0.5,0.5,84,-1,12,lianjiIcon_icon,,"Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)","skill_lianji_atk4(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4);skill_lianji_4(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4);skill_lianji_4(RECEIVER, ARG0, ARG1, ARG2, ARG3,ARG4)","Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5);Mp_condition(RECEIVER, ARG0, ARG1, ARG2,ARG3,ARG4,ARG5)",,,4503
